Start Time,End Time
0.1578689775673263,0.2210165685942568
0.5683283192423747,0.6314759102693052
0.6946235012962356,0.7577710923231662
1.0103614564308883,1.0735090474578188
1.105082842971284,1.1682304339982146
1.3892470025924712,1.4523945936194018
1.578689775673263,1.6418373667001935
1.831280139780985,1.8944277308079154
2.241739481456033,2.304887072482964
2.652198823131082,2.715346414158012
2.9679367782657344,3.031084369292665
3.2521009378869215,3.3152485289138522
3.441543710967713,3.5046913019946437
3.630986484048505,3.6941340750754352
3.946724439183157,4.009872030210087
4.26246239431781,4.32560998534474
4.830790713560185,4.893938304587115
5.051807282154441,5.114954873181372
5.46226662382949,5.52541421485642
5.935873556531469,5.999021147558399
