Start Time,End Time
0.06314759102693052,0.12629518205386103
0.1578689775673263,0.2210165685942568
0.28416415962118735,0.3473117506481178
0.4104593416750484,0.47360693270197884
0.5683283192423747,0.6314759102693052
0.6314759102693052,0.6946235012962356
0.6946235012962356,0.7577710923231662
0.7577710923231662,0.8209186833500968
0.8209186833500968,0.8840662743770272
0.8840662743770272,0.9472138654039577
0.978787660917423,1.0419352519443534
1.0735090474578188,1.1366566384847494
1.1998042295116798,1.2629518205386103
1.2945256160520755,1.357673207079006
1.4523945936194018,1.5155421846463324
1.5155421846463324,1.578689775673263
1.578689775673263,1.6418373667001935
1.7681325487540545,1.831280139780985
1.8628539352944502,1.9260015263213808
1.9260015263213808,1.9891491173483113
1.9891491173483113,2.0522967083752417
2.0522967083752417,2.1154442994021725
2.241739481456033,2.304887072482964
2.336460867996429,2.3996084590233595
2.3996084590233595,2.4627560500502903
2.4627560500502903,2.5259036410772207
2.589051232104151,2.652198823131082
2.7784940051849425,2.8416415962118733
2.9679367782657344,3.031084369292665
3.031084369292665,3.094231960319595
3.157379551346526,3.2205271423734563
3.2521009378869215,3.3152485289138522
3.3152485289138522,3.3783961199407826
3.3783961199407826,3.441543710967713
3.5046913019946437,3.567838893021574
3.567838893021574,3.630986484048505
3.7572816661023656,3.8204292571292964
3.8520030526427615,3.915150643669692
3.946724439183157,4.009872030210087
4.073019621237019,4.136167212263949
4.199314803290879,4.26246239431781
4.26246239431781,4.32560998534474
4.32560998534474,4.388757576371671
4.451905167398602,4.515052758425532
4.515052758425532,4.578200349452462
4.609774144965928,4.672921735992858
4.704495531506323,4.767643122533254
4.862364509073649,4.925512100100581
4.925512100100581,4.988659691127511
5.020233486640976,5.083381077667907
5.114954873181372,5.178102464208302
5.209676259721768,5.272823850748698
5.272823850748698,5.335971441775628
5.335971441775628,5.39911903280256
5.430692828316024,5.493840419342955
5.52541421485642,5.588561805883351
5.588561805883351,5.651709396910281
5.651709396910281,5.714856987937211
5.746430783450677,5.809578374477607
5.872725965504538,5.935873556531469
6.06216873858533,6.12531632961226
6.12531632961226,6.18846392063919
6.18846392063919,6.2516115116661215
