Start Time,End Time
0.12629518205386103,0.18944277308079155
0.47360693270197884,0.5367545237289094
0.7577710923231662,0.8209186833500968
1.0735090474578188,1.1366566384847494
1.2629518205386103,1.326099411565541
1.5155421846463324,1.578689775673263
1.7049849577271239,1.7681325487540545
1.9891491173483113,2.0522967083752417
2.4311822545368247,2.4943298455637555
2.6206250276176166,2.683772618644547
2.936362982752269,2.9995105737791996
3.188953346859991,3.2521009378869215
3.5046913019946437,3.567838893021574
3.567838893021574,3.630986484048505
3.9782982346966227,4.041445825723553
4.388757576371671,4.451905167398602
4.862364509073649,4.925512100100581
5.020233486640976,5.083381077667907
5.620135601396816,5.683283192423747
5.904299761018003,5.967447352044934
