Start Time,End Time
0.1578689775673263,0.2210165685942568
0.25259036410772207,0.3157379551346526
0.7577710923231662,0.8209186833500968
1.0103614564308883,1.0735090474578188
1.2313780250251452,1.2945256160520755
1.6102635711867281,1.6734111622136587
1.831280139780985,1.8944277308079154
2.0522967083752417,2.1154442994021725
2.273313276969499,2.336460867996429
2.589051232104151,2.652198823131082
2.936362982752269,2.9995105737791996
3.1258057558330608,3.188953346859991
3.7888554616158308,3.8520030526427615
3.7888554616158308,3.8520030526427615
4.167741007777414,4.230888598804345
4.546626553938998,4.609774144965928
4.862364509073649,4.925512100100581
5.272823850748698,5.335971441775628
5.7780045789641425,5.841152169991073
6.093742534098795,6.1568901251257255
