Start Time,End Time
0.12629518205386103,0.18944277308079155
0.3157379551346526,0.3788855461615831
0.8209186833500968,0.8840662743770272
1.105082842971284,1.1682304339982146
1.326099411565541,1.3892470025924712
1.5155421846463324,1.578689775673263
1.957575321834846,2.0207229128617765
2.1470180949156377,2.210165685942568
2.3680346635098943,2.4311822545368247
2.557477436590686,2.6206250276176166
2.8732153917253385,2.936362982752269
3.283674733400387,3.3468223244273174
3.6941340750754352,3.7572816661023656
3.8835768481562267,3.946724439183157
4.199314803290879,4.26246239431781
4.578200349452462,4.641347940479393
4.925512100100581,4.988659691127511
5.335971441775628,5.39911903280256
5.904299761018003,5.967447352044934
6.18846392063919,6.2516115116661215
